step,cbf_initial,mpc_status,controller_used,mpc_iterations,control_input,predicted_h
88,0.976772129535675,Solved_To_Acceptable_Level,MPC,7,"[[-0.009390190798456838, -0.05596898357757108], [-0.005029721260245277, -0.030550684523464797], [-0.0038326502368186853, -0.009195901818003066]]","[0.9756283760070801, 0.9812184572219849, 0.9844227433204651]"
89,0.9810943007469177,Solved_To_Acceptable_Level,MPC,10,"[[-0.012934556912564675, -0.040908453753663636], [-0.005138264909317904, -0.02192065467427252], [-0.0043727646976005, -0.007193180499465775]]","[0.9779344797134399, 0.9801816344261169, 0.9868803024291992]"
90,0.9828688502311707,Solve_Succeeded,MPC,11,"[[-0.016443496127792927, -0.02892918953231403], [-0.00546773050025903, -0.014880278401342125], [-0.004810023970556952, -0.004992445986230007]]","[0.9791359305381775, 0.9862724542617798, 0.9896723628044128]"
91,0.9829735159873962,Solve_Succeeded,MPC,12,"[[-0.018471377689113666, -0.020312745442185722], [-0.005859728070913972, -0.008146579319352311], [-0.004649197891757655, -0.002499319027249561]]","[0.9853945374488831, 0.9891079664230347, 0.9904453754425049]"
92,0.9860901832580566,Solved_To_Acceptable_Level,MPC,11,"[[-0.019725480072100902, -0.014593488619682828], [-0.005321818697821864, -0.006637707806288843], [-0.0036967904506134833, -0.001783236760067042]]","[0.9887741208076477, 0.9901752471923828, 0.9908856749534607]"
93,0.989327609539032,Solve_Succeeded,MPC,11,"[[-0.018499894792956512, -0.0012725124666990192], [-0.006210173800528317, 0.0018251211278122596], [-0.004882599065325582, 0.0031926039353210637]]","[0.9900304079055786, 0.9906982183456421, 0.9908983707427979]"
94,0.9905195236206055,Solve_Succeeded,MPC,11,"[[-0.01919348249624731, 0.00578970728055272], [-0.006464323672965272, 0.006372050695105918], [-0.004804330284634359, 0.003499511494018671]]","[0.9906059503555298, 0.9907954931259155, 0.9905982613563538]"
95,0.9910507202148438,Solve_Succeeded,MPC,11,"[[-0.01927345381596131, 0.011793626931482292], [-0.006718894513861122, 0.008508594913529618], [-0.0048293009313185925, 0.003964530155561337]]","[0.9907218217849731, 0.9905106425285339, 0.9900415539741516]"
96,0.9911956787109375,Solve_Succeeded,MPC,10,"[[-0.01891186856624415, 0.015235564416356505], [-0.00692759996670859, 0.010515224447622791], [-0.00497836366334048, 0.005929829199081157]]","[0.9904577136039734, 0.9899637699127197, 0.9893137216567993]"
97,0.9910380840301514,Solve_Succeeded,MPC,8,"[[-0.019167320275282233, 0.019014433357262703], [-0.0066239441542826705, 0.013345895461529065], [-0.005225124606491564, 0.006741900602107953]]","[0.9899149537086487, 0.9892354607582092, 0.9884677529335022]"
98,0.9906071424484253,Solve_Succeeded,MPC,10,"[[-0.018437058518480168, 0.02149847776578219], [-0.007425717282810698, 0.01465905778641209], [-0.005289892380195328, 0.007306029801762093]]","[0.9891970753669739, 0.9883602857589722, 0.9872090220451355]"
99,0.989913821220398,Solve_Succeeded,MPC,10,"[[-0.018457369680733363, 0.0232680311083682], [-0.007889937711334626, 0.015587652752698456], [-0.005481397135356937, 0.007223983733905984]]","[0.9882979989051819, 0.987095296382904, 0.9858956933021545]"
100,0.9891389608383179,Solve_Succeeded,MPC,10,"[[-0.01869581212152923, 0.02499799103795919], [-0.008162803519612752, 0.016125768748886233], [-0.005793085605827605, 0.007746803058449095]]","[0.9870268106460571, 0.9857804775238037, 0.9846571087837219]"
101,0.9880475997924805,Solve_Succeeded,MPC,9,"[[-0.018793859294407463, 0.02583406181112388], [-0.009004792669876853, 0.01673183722406321], [-0.0061149746446382686, 0.007599983535412371]]","[0.9857214689254761, 0.9845250844955444, 0.9832134246826172]"
102,0.9867353439331055,Solve_Succeeded,MPC,9,"[[-0.019019485143478093, 0.0262388831052286], [-0.009739236993491503, 0.016389776796924133], [-0.006025480510397938, 0.007570139836587486]]","[0.9844589829444885, 0.9830512404441833, 0.9815419912338257]"
103,0.9855608344078064,Solve_Succeeded,MPC,8,"[[-0.01960991383272247, 0.025918342270305747], [-0.010450719179981468, 0.01649901300735223], [-0.0068926277970513, 0.0076112520883236555]]","[0.9829649925231934, 0.9813748598098755, 0.9800350666046143]"
104,0.9842396378517151,Solve_Succeeded,MPC,8,"[[-0.019986312434578855, 0.025579383161763364], [-0.011097635650737793, 0.01625529822126716], [-0.007308154935164978, 0.007347964652773798]]","[0.9813041090965271, 0.9798929691314697, 0.9788501858711243]"
105,0.9827075600624084,Solved_To_Acceptable_Level,MPC,4,"[[-0.020936683059004656, 0.022830949906507886], [-0.011562539561104533, 0.013364291904365702], [-0.006256068251644255, 0.00480229001772947]]","[0.9798595905303955, 0.9787392616271973, 0.9777238965034485]"
106,0.9812186360359192,Solve_Succeeded,MPC,4,"[[-0.02199146837486428, 0.023257119665206254], [-0.012940309402112703, 0.013859675658342516], [-0.00792176449262448, 0.005978762833302893]]","[0.97867351770401, 0.9775400161743164, 0.9765084385871887]"
107,0.9799902439117432,Solve_Succeeded,MPC,4,"[[-0.024203995603514078, 0.023343059612456765], [-0.015207835029889196, 0.01447148469941286], [-0.009567702864744381, 0.0065362294556765305]]","[0.9774702191352844, 0.976313054561615, 0.9753080606460571]"
108,0.9787509441375732,Solve_Succeeded,MPC,3,"[[-0.027061934969303668, 0.021891122267843885], [-0.0183498289704018, 0.0136627818623104], [-0.011578589751632099, 0.006352581462006174]]","[0.9762495756149292, 0.9751099944114685, 0.9739837646484375]"
